Original Binary String Length,3-RLL redundancy in bits
637,7.0
638,6.0
639,7.0
640,6.0
641,7.0
642,6.0
643,7.0
644,6.0
645,7.0
646,6.0
647,7.0
648,6.0
649,7.0
650,6.0
651,7.0
652,6.0
653,7.0
654,6.0
655,7.0
656,6.0
657,7.0
658,6.0
659,7.0
660,6.0
661,7.0
662,6.0
663,7.0
664,6.0
665,7.0
666,6.0
667,7.0
668,6.0
669,7.0
670,6.0
671,7.0
672,6.0
673,7.0
674,6.0
675,7.0
676,6.0
677,7.0
678,6.0
679,7.0
680,8.0
681,7.0
682,8.0
683,7.0
684,8.0
685,7.0
686,8.0
687,7.0
688,8.0
689,7.0
690,8.0
691,7.0
692,8.0
693,7.0
694,8.0
695,7.0
696,8.0
697,7.0
698,8.0
699,7.0
700,8.0
701,7.0
702,8.0
703,7.0
704,8.0
705,7.0
706,8.0
707,7.0
708,8.0
709,7.0
710,8.0
711,7.0
712,8.0
713,7.0
714,8.0
715,7.0
716,8.0
717,7.0
718,8.0
719,7.0
720,8.0
721,7.0
722,8.0
723,7.0
724,8.0
725,7.0
726,8.0
727,7.0
728,8.0
729,7.0
730,8.0
731,7.0
732,8.0
733,7.0
734,8.0
735,7.0
736,8.0
737,7.0
738,8.0
739,7.0
740,8.0
741,7.0
742,8.0
743,7.0
744,8.0
745,7.0
746,8.0
747,7.0
748,8.0
749,7.0
750,8.0
751,7.0
752,8.0
753,7.0
754,8.0
755,7.0
756,8.0
757,7.0
758,8.0
759,7.0
760,8.0
761,7.0
762,8.0
763,7.0
764,8.0
765,7.0
766,8.0
767,7.0
768,8.0
769,7.0
770,8.0
771,7.0
772,8.0
773,7.0
774,8.0
775,7.0
776,8.0
777,7.0
778,8.0
779,7.0
780,8.0
781,7.0
782,8.0
783,7.0
784,8.0
785,7.0
786,8.0
787,7.0
788,8.0
789,7.0
790,8.0
791,7.0
792,8.0
793,9.0
794,8.0
795,9.0
796,8.0
797,9.0
798,8.0
799,9.0
800,8.0
801,9.0
802,8.0
803,9.0
804,8.0
805,9.0
806,8.0
807,9.0
808,8.0
809,9.0
810,8.0
811,9.0
812,8.0
813,9.0
814,8.0
815,9.0
816,8.0
817,9.0
818,8.0
819,9.0
820,8.0
821,9.0
822,8.0
823,9.0
824,8.0
825,9.0
826,8.0
827,9.0
828,8.0
829,9.0
830,8.0
831,9.0
832,8.0
833,9.0
834,8.0
835,9.0
836,8.0
837,9.0
838,8.0
839,9.0
840,8.0
841,9.0
842,8.0
843,9.0
844,8.0
845,9.0
846,8.0
847,9.0
848,8.0
849,9.0
850,8.0
851,9.0
852,8.0
853,9.0
854,8.0
855,9.0
856,8.0
857,9.0
858,8.0
859,9.0
860,8.0
861,9.0
862,8.0
863,9.0
864,8.0
865,9.0
866,8.0
867,9.0
868,8.0
869,9.0
870,8.0
871,9.0
872,8.0
873,9.0
874,8.0
875,9.0
876,8.0
877,9.0
878,8.0
879,9.0
880,8.0
881,9.0
882,8.0
883,9.0
884,8.0
885,9.0
886,8.0
887,9.0
888,8.0
889,9.0
890,8.0
891,9.0
892,8.0
893,9.0
894,8.0
895,9.0
896,8.0
897,9.0
898,8.0
899,9.0
900,8.0
901,9.0
902,8.0
903,9.0
904,8.0
905,9.0
906,10.0
907,9.0
908,10.0
909,9.0
910,10.0
911,9.0
912,10.0
913,9.0
914,10.0
915,9.0
916,10.0
917,9.0
918,10.0
919,9.0
920,10.0
921,9.0
922,10.0
923,9.0
924,10.0
925,9.0
926,10.0
927,9.0
928,10.0
929,9.0
930,10.0
931,9.0
932,10.0
933,9.0
934,10.0
935,9.0
936,10.0
937,9.0
938,10.0
939,9.0
940,10.0
941,9.0
942,10.0
943,9.0
944,10.0
945,9.0
946,10.0
947,9.0
948,10.0
949,9.0
950,10.0
951,9.0
952,10.0
953,9.0
954,10.0
955,9.0
956,10.0
957,9.0
958,10.0
959,9.0
960,10.0
961,9.0
962,10.0
963,9.0
964,10.0
965,9.0
966,10.0
967,9.0
968,10.0
969,9.0
970,10.0
971,9.0
972,10.0
973,9.0
974,10.0
975,9.0
976,10.0
977,9.0
978,10.0
979,9.0
980,10.0
981,9.0
982,10.0
983,9.0
984,10.0
985,9.0
986,10.0
987,9.0
988,10.0
989,9.0
990,10.0
991,9.0
992,10.0
993,9.0
994,10.0
995,9.0
996,10.0
997,9.0
998,10.0
999,9.0
1000,10.0
