,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
16,63654.0,1313664.0,12201984.0,67860288.0,253538472.0,676384896.0,1335439488.0,1993376448.0,2275383720.0,1993376448.0,1335439488.0,676384896.0,253538472.0,67860288.0,12201984.0,1313664.0,63654.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,117078.0,2573664.0,25623168.0,153728256.0,623797176.0,1820562312.0,3964335360.0,6587941056.0,8466432720.0,8466432720.0,6587941056.0,3964335360.0,1820562312.0,623797176.0,153728256.0,25623168.0,2573664.0,117078.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,215340.0,5023320.0,53367192.0,343626240.0,1505426400.0,4773890328.0,11374630320.0,20848949760.0,29830314312.0,33584927832.0,29830314312.0,20848949760.0,11374630320.0,4773890328.0,1505426400.0,343626240.0,53367192.0,5023320.0,215340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,396072.0,9772008.0,110349000.0,759112704.0,3572054400.0,12235492896.0,31684518480.0,63554364864.0,100301366784.0,125725238808.0,125725238808.0,100301366784.0,63554364864.0,31684518480.0,12235492896.0,3572054400.0,759112704.0,110349000.0,9772008.0,396072.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,728490.0,18953280.0,226704672.0,1659549888.0,8349678336.0,30734739072.0,85994897664.0,187499127360.0,323850300864.0,447776156544.0,498532431264.0,447776156544.0,323850300864.0,187499127360.0,85994897664.0,30734739072.0,8349678336.0,1659549888.0,226704672.0,18953280.0,728490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,1339902.0,36662568.0,463065408.0,3594376896.0,19258725000.0,75836504112.0,228095856384.0,537455595264.0,1009158828960.0,1527147373656.0,1875524546688.0,1875524546688.0,1527147373656.0,1009158828960.0,537455595264.0,228095856384.0,75836504112.0,19258725000.0,3594376896.0,463065408.0,36662568.0,1339902.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,2464464.0,70747464.0,940941432.0,7720012032.0,43892927832.0,184159816008.0,592752412848.0,1501711999488.0,3047586773472.0,5013934172232.0,6739678368936.0,7434514283520.0,6739678368936.0,5013934172232.0,3047586773472.0,1501711999488.0,592752412848.0,184159816008.0,43892927832.0,7720012032.0,940941432.0,70747464.0,2464464.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,4532856.0,136221168.0,1902982152.0,16456059840.0,98965849920.0,440841326376.0,1512392345040.0,4101267335808.0,8950317736704.0,15916604237088.0,23261193495384.0,28084890991488.0,28084890991488.0,23261193495384.0,15916604237088.0,8950317736704.0,4101267335808.0,1512392345040.0,440841326376.0,98965849920.0,16456059840.0,1902982152.0,136221168.0,4532856.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,8337222.0,261762624.0,3832157952.0,34837836096.0,220974586104.0,1041700948416.0,3795590662656.0,10973477002944.0,25637477942712.0,49032288487296.0,77460254939904.0,101684314611840.0,111297484048248.0,101684314611840.0,77460254939904.0,49032288487296.0,25637477942712.0,10973477002944.0,3795590662656.0,1041700948416.0,220974586104.0,34837836096.0,3832157952.0,261762624.0,8337222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,15334542.0,502080144.0,7686869184.0,73292201856.0,489044573976.0,2432748360120.0,9384178282368.0,28822237648704.0,71803666117488.0,147032840589312.0,249825817348992.0,354523859667456.0,421909437500904.0,421909437500904.0,354523859667456.0,249825817348992.0,147032840589312.0,71803666117488.0,28822237648704.0,9384178282368.0,2432748360120.0,489044573976.0,73292201856.0,7686869184.0,502080144.0,15334542.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
