,max length of binary vectors
414,823.3266372647038
415,825.323165072797
416,827.323165072797
417,829.3197095141608
418,831.3197095141608
419,833.316270430194
420,835.316270430194
421,837.3128476645531
422,839.3128476645531
423,841.30944106311
424,843.30944106311
425,845.3060504739092
426,847.3060504739092
427,849.3026757471285
428,851.3026757471285
429,853.2993167350386
430,855.2993167350386
431,857.2959732919642
432,859.2959732919642
433,861.2926452742465
434,863.2926452742465
435,865.2893325402056
436,867.2893325402056
437,869.2860349501051
438,871.2860349501051
439,873.2827523661158
440,875.2827523661158
441,877.2794846522818
442,879.2794846522818
443,881.2762316744868
444,883.2762316744868
445,885.2729933004202
446,887.2729933004202
447,889.269769399546
448,891.269769399546
449,893.2665598430701
450,895.2665598430701
451,897.2633645039102
452,899.2633645039102
453,901.2601832566656
454,903.2601832566656
455,905.2570159775869
456,907.2570159775869
457,909.2538625445479
458,911.2538625445479
459,913.2507228370175
460,915.2507228370175
461,917.2475967360308
462,919.2475967360308
463,921.2444841241634
464,923.2444841241634
465,925.2413848855044
466,927.2413848855044
467,929.2382989056307
468,931.2382989056307
469,933.2352260715811
470,935.2352260715811
471,937.232166271832
472,939.232166271832
473,941.2291193962733
474,943.2291193962733
475,945.2260853361836
476,947.2260853361836
477,949.2230639842084
478,951.2230639842084
479,953.220055234336
480,955.220055234336
481,957.2170589818761
482,959.2170589818761
483,961.2140751234373
484,963.2140751234373
485,965.211103556906
486,967.211103556906
487,969.2081441814255
488,971.2081441814255
489,973.2051968973751
490,975.2051968973751
491,977.2022616063505
492,979.2022616063505
493,981.1993382111438
494,983.1993382111438
495,985.1964266157238
496,987.1964266157238
497,989.1935267252181
498,991.1935267252181
499,993.1906384458932
500,995.1906384458932
501,997.1877616851377
502,999.1877616851377
503,1001.1848963514433
504,1003.1848963514433
505,1005.1820423543882
506,1007.1820423543882
507,1009.1791996046193
508,1011.1791996046193
509,1013.1763680138362
510,1015.1763680138362
511,1017.1735474947739
512,1019.1735474947739
513,1021.1707379611869
514,1023.1707379611869
515,1025.1679393278343
516,1027.1679393278343
517,1029.1651515104627
518,1031.1651515104627
519,1033.1623744257922
520,1035.1623744257922
521,1037.1596079915007
522,1039.1596079915007
523,1041.1568521262102
524,1043.1568521262102
525,1045.1541067494713
526,1047.1541067494713
527,1049.1513717817502
528,1051.1513717817502
529,1053.1486471444136
530,1055.1486471444136
531,1057.1459327597167
532,1059.1459327597167
533,1061.143228550788
534,1063.143228550788
535,1065.140534441619
536,1067.140534441619
537,1069.1378503570477
538,1071.1378503570477
539,1073.1351762227494
540,1075.1351762227494
541,1077.1325119652224
542,1079.1325119652224
543,1081.1298575117762
544,1083.1298575117762
545,1085.1272127905208
546,1087.1272127905208
547,1089.124577730353
548,1091.124577730353
549,1093.121952260946
550,1095.121952260946
551,1097.119336312739
552,1099.119336312739
553,1101.1167298169244
554,1103.1167298169244
555,1105.1141327054384
556,1107.1141327054384
557,1109.1115449109493
558,1111.1115449109493
559,1113.1089663668477
560,1115.1089663668477
561,1117.1063970072355
562,1119.1063970072355
563,1121.1038367669169
564,1123.1038367669169
565,1125.1012855813874
566,1127.1012855813874
567,1129.098743386825
568,1131.098743386825
569,1133.0962101200794
570,1135.0962101200794
571,1137.093685718664
572,1139.093685718664
573,1141.0911701207451
574,1143.0911701207451
575,1145.0886632651345
576,1147.0886632651345
577,1149.0861650912793
578,1151.0861650912793
579,1153.0836755392538
580,1155.0836755392538
581,1157.0811945497499
582,1159.0811945497499
583,1161.0787220640705
584,1163.0787220640705
585,1165.076258024119
586,1167.076258024119
587,1169.0738023723927
588,1171.0738023723927
589,1173.071355051974
590,1175.071355051974
591,1177.0689160065226
592,1179.0689160065226
593,1181.0664851802676
594,1183.0664851802676
595,1185.0640625180008
596,1187.0640625180008
597,1189.0616479650676
598,1191.0616479650676
599,1193.0592414673606
600,1195.0592414673606
601,1197.056842971312
602,1199.056842971312
603,1201.0544524238871
604,1203.0544524238871
605,1205.052069772576
606,1207.052069772576
607,1209.049694965388
608,1211.049694965388
609,1213.0473279508442
610,1215.0473279508442
611,1217.0449686779702
612,1219.0449686779702
613,1221.042617096291
614,1223.042617096291
615,1225.0402731558224
616,1227.0402731558224
617,1229.0379368070676
618,1231.0379368070676
619,1233.0356080010076
620,1235.0356080010076
621,1237.0332866890976
622,1239.0332866890976
623,1241.0309728232592
624,1243.0309728232592
625,1245.028666355876
626,1247.028666355876
627,1249.0263672397864
628,1251.0263672397864
629,1253.0240754282786
630,1255.0240754282786
631,1257.021790875084
632,1259.021790875084
633,1261.019513534373
634,1263.019513534373
635,1265.0172433607481
636,1267.0172433607481
637,1269.0149803092395
638,1271.0149803092395
639,1273.012724335299
640,1275.012724335299
641,1277.0104753947955
642,1279.0104753947955
643,1281.008233444009
644,1283.008233444009
645,1285.0059984396257
646,1287.0059984396257
647,1289.0037703387334
648,1291.0037703387334
649,1293.0015490988167
650,1295.0015490988167
651,1296.9993346777514
652,1298.9993346777514
653,1300.9971270337996
654,1302.9971270337996
655,1304.9949261256065
656,1306.9949261256065
657,1308.9927319121934
658,1310.9927319121934
659,1312.9905443529558
660,1314.9905443529558
661,1316.9883634076564
662,1318.9883634076564
663,1320.9861890364218
664,1322.9861890364218
665,1324.9840211997391
666,1326.9840211997391
667,1328.9818598584498
668,1330.9818598584498
669,1332.979704973746
670,1334.979704973746
671,1336.9775565071675
672,1338.9775565071675
673,1340.9754144205958
674,1342.9754144205958
675,1344.973278676252
676,1346.973278676252
677,1348.9711492366905
678,1350.9711492366905
679,1352.9690260647976
680,1354.9690260647976
681,1356.9669091237856
682,1358.9669091237856
683,1360.9647983771897
684,1362.9647983771897
685,1364.9626937888647
686,1366.9626937888647
687,1368.9605953229807
688,1370.9605953229807
689,1372.9585029440195
690,1374.9585029440195
691,1376.956416616771
692,1378.956416616771
693,1380.9543363063299
694,1382.9543363063299
695,1384.952261978092
696,1386.952261978092
697,1388.950193597751
698,1390.950193597751
699,1392.948131131294
700,1394.948131131294
701,1396.946074545
702,1398.946074545
703,1400.9440238054353
704,1402.9440238054353
705,1404.9419788794503
706,1406.9419788794503
707,1408.9399397341767
708,1410.9399397341767
709,1412.9379063370243
710,1414.9379063370243
711,1416.9358786556772
712,1418.9358786556772
713,1420.9338566580918
714,1422.9338566580918
715,1424.9318403124935
716,1426.9318403124935
717,1428.9298295873723
718,1430.9298295873723
719,1432.9278244514821
720,1434.9278244514821
721,1436.9258248738356
722,1438.9258248738356
723,1440.9238308237036
724,1442.9238308237036
725,1444.9218422706101
726,1446.9218422706101
727,1448.919859184331
728,1450.919859184331
729,1452.9178815348905
730,1454.9178815348905
731,1456.9159092925588
732,1458.9159092925588
733,1460.9139424278496
734,1462.9139424278496
735,1464.9119809115164
736,1466.9119809115164
737,1468.910024714551
738,1470.910024714551
739,1472.9080738081807
740,1474.9080738081807
741,1476.9061281638658
742,1478.9061281638658
743,1480.9041877532964
744,1482.9041877532964
745,1484.9022525483906
746,1486.9022525483906
747,1488.9003225212923
748,1490.9003225212923
749,1492.8983976443678
750,1494.8983976443678
751,1496.8964778902043
752,1498.8964778902043
753,1500.8945632316077
754,1502.8945632316077
755,1504.892653641599
756,1506.892653641599
757,1508.8907490934137
758,1510.8907490934137
759,1512.8888495604983
760,1514.8888495604983
761,1516.8869550165084
762,1518.8869550165084
763,1520.8850654353073
764,1522.8850654353073
765,1524.8831807909623
766,1526.8831807909623
767,1528.8813010577442
768,1530.8813010577442
769,1532.8794262101237
770,1534.8794262101237
771,1536.8775562227706
772,1538.8775562227706
773,1540.875691070551
774,1542.875691070551
775,1544.8738307285255
776,1546.8738307285255
777,1548.8719751719468
778,1550.8719751719468
779,1552.870124376259
780,1554.870124376259
781,1556.8682783170937
782,1558.8682783170937
783,1560.8664369702694
784,1562.8664369702694
785,1564.86460031179
786,1566.86460031179
787,1568.862768317841
788,1570.862768317841
789,1572.86094096479
790,1574.86094096479
791,1576.8591182291832
792,1578.8591182291832
793,1580.857300087744
794,1582.857300087744
795,1584.8554865173724
796,1586.8554865173724
797,1588.8536774951403
798,1590.8536774951403
799,1592.8518729982936
800,1594.8518729982936
801,1596.8500730042474
802,1598.8500730042474
803,1600.8482774905858
804,1602.8482774905858
805,1604.84648643506
806,1606.84648643506
807,1608.8446998155857
808,1610.8446998155857
809,1612.8429176102436
810,1614.8429176102436
811,1616.841139797276
812,1618.841139797276
813,1620.8393663550846
814,1622.8393663550846
815,1624.8375972622316
816,1626.8375972622316
817,1628.8358324974356
818,1630.8358324974356
819,1632.834072039571
820,1634.834072039571
821,1636.8323158676671
822,1638.8323158676671
823,1640.8305639609057
824,1642.8305639609057
825,1644.8288162986194
826,1646.8288162986194
827,1648.8270728602913
828,1650.8270728602913
829,1652.8253336255527
830,1654.8253336255527
831,1656.8235985741821
832,1658.8235985741821
833,1660.821867686103
834,1662.821867686103
835,1664.8201409413834
836,1666.8201409413834
837,1668.8184183202343
838,1670.8184183202343
839,1672.816699803008
840,1674.816699803008
841,1676.8149853701968
842,1678.8149853701968
843,1680.8132750024317
844,1682.8132750024317
845,1684.8115686804813
846,1686.8115686804813
847,1688.8098663852504
848,1690.8098663852504
849,1692.8081680977784
850,1694.8081680977784
851,1696.8064737992386
852,1698.8064737992386
853,1700.8047834709364
854,1702.8047834709364
855,1704.8030970943082
856,1706.8030970943082
857,1708.8014146509213
858,1710.8014146509213
859,1712.7997361224702
860,1714.7997361224702
861,1716.798061490778
862,1718.798061490778
863,1720.7963907377934
864,1722.7963907377934
865,1724.7947238455909
866,1726.7947238455909
