Final Quaternary String Length,Number of possible strands,Log2 Count
218,1.1102516416637448499e+130,432.00153903989193727
219,4.470027324009886616e+130,434.01093598557846742
220,1.7955745690161514051e+131,436.0170259986555068
221,6.9662677687902116955e+131,437.9729663584204954
222,2.7987359673917204643e+132,439.9792839146857623
223,1.0856517605255752296e+133,441.9349980307756681
224,4.3623464127697886625e+133,443.94154095857679385
225,1.6919260352402872931e+134,445.89703121544216144
226,6.799518789308877669e+134,447.9037973634984634
227,2.6367728760252719207e+135,449.85906611677799752
228,1.05982969078756919614e+136,451.86605335437839237
229,4.1092697159707230323e+136,453.821102931006528
230,1.6519386957159811752e+137,455.82830914817369466
231,6.627076429131150704e+137,457.83252155747591733
232,2.5748490546500300901e+138,459.79056495413406164
233,1.0331000532643895777e+139,461.7949851718699932
234,4.0133745003246271188e+139,463.75282097405641957
235,1.6105058474673740248e+140,465.7574471831364097
236,6.2555820163950398936e+140,467.7150774025313806
237,2.5106247645104883293e+141,469.71990780006811947
238,9.7504786885975320615e+141,471.67733442718170994
239,3.9138209333528797411e+142,473.68236722473933176
240,1.5680514038725347335e+143,475.6846904235604882
241,6.1012636903245215434e+143,477.6448256527076179
242,2.4447636436116712934e+144,479.64734065792618428
243,9.5112674846369910914e+144,481.60728327321031864
244,3.8116477296898811463e+145,483.60998855102311422
245,1.4827120184532716833e+146,485.5697402693553626
246,5.942757212314161211e+146,487.57263429529005522
247,2.3113998757426902848e+147,489.53219681830660884
248,9.265367043189868627e+147,491.53527807751737583
249,3.6032407492318234237e+148,493.49465309146382913
250,1.4445638180330601127e+149,495.4979200790015182
251,5.781461460884657886e+149,497.4987203672505661
252,2.2522176330628689039e+150,499.46056047569571995
253,9.014968409496189411e+150,501.4615366692386147
254,3.5114261906131587435e+151,503.42319943835701584
255,1.4056913232939839587e+152,505.4243502496905309
256,5.474649905605652665e+152,507.38583713268956332
257,2.1918708021990800157e+153,509.3871612802437313
258,8.5354972461425862864e+153,511.34847371948434142
259,3.4177415757860448794e+154,513.3499699279163093
260,1.3663891061788168953e+155,515.349223085471947
261,5.3292098647775139873e+155,517.31277635522198355
262,2.1308210845875419828e+156,519.312192264054732
263,8.3097087817646865096e+156,521.27558072028265174
264,3.322910412352887536e+157,523.27515829495116095
265,1.2957111926253985755e+158,525.2383831769385545
266,5.181904195880601871e+158,527.2381213351227193
267,2.0203661670217745892e+159,529.20118387485605643
268,8.080891431815838692e+159,531.201081537657069
269,3.15029684697703946e+160,533.16398295963305787
270,1.2601677333683995273e+161,535.1640390518550336
271,5.0337044756061731705e+161,537.1620437964845015
272,1.96515437776757375e+162,539.1269940233161239
273,7.8505687299468060105e+162,541.1251485447573062
274,3.064532760062955168e+163,543.08994659402258354
275,1.2243723914944830818e+164,545.0882499803851819
276,4.7789356485444510583e+164,547.05289690242193923
277,1.909523383203145667e+165,549.05134824310716857
278,7.452422292454129639e+165,551.0158450835080447
279,2.9780742380849749927e+166,553.01444346948746983
280,1.1885292633970283008e+167,555.0111692712519636
281,4.6445664924333829594e+167,556.9775357929798176
282,1.8537934437466089768e+168,558.9744004437869224
283,7.243592577742115379e+168,560.940625343990996
284,2.8914237194311164213e+169,562.93762807789194047
285,1.1296971917460447659e+170,564.90371224994349636
286,4.5098397478654981557e+170,566.90085230068096567
287,1.761851597317386746e+171,568.8667966353372778
288,7.034115435157491345e+171,570.86407323661385954
289,2.747741529416932731e+172,572.8298786218106139
290,1.09712704163132913705e+173,574.82729100754423857
291,4.3754271799797543787e+173,576.8229842919678337
292,1.7112104790482596736e+174,578.79050573276691666
293,6.8250454743559612023e+174,580.7863271689477176
294,2.6690029938663352867e+175,582.7537175290649154
295,1.0646076029247038582e+176,584.7496664746352212
296,4.1628795351897509668e+176,586.71692651075600955
297,1.6606286883713512209e+177,588.71300232210809955
298,6.492886519643286786e+177,590.68013278973878155
299,2.5903264590058254109e+178,592.67633482226720815
300,1.03227941220116578985e+179,594.6709625098980868
301,4.0405035449050265058e+179,596.63966408387138457
302,1.6103270088661667236e+180,598.6344107656829768
303,6.3025389710105323543e+180,600.60299021357219645
304,2.5120587043143769472e+181,602.59785535358481356
305,9.830931637067934202e+181,604.56631331594852136
306,3.918721665735420026e+182,606.56129637606514277
307,1.5334616947866259593e+183,608.52963349354092887
308,6.113050856391374287e+183,610.52473393377347066
309,2.3919403092633495068e+184,612.49295084688583723
310,9.536095383923621509e+184,614.4881681255723736
311,3.7979946567211180405e+185,616.4819354299687266
312,1.4875863339869044128e+186,618.4515990485626721
313,5.9251464011833875115e+186,620.445476450258921
314,2.3205600870302791121e+187,622.41502679810863663
315,9.243633795835544148e+187,624.40901384976165656
316,3.6199496451932505718e+188,626.3784514678631959
317,1.4420665907485978403e+189,628.3725477195971588
318,5.6469161770536539743e+189,630.3418731497931171
319,2.249711682111195417e+190,632.3360781494006495
320,8.9545048055798111795e+190,634.32895168032008915
321,3.50967904411683582e+191,636.2996052273400817
322,1.39705314923014074e+192,638.2925811257867796
323,5.475287883605036125e+192,640.26312904013403654
324,2.1796320704411020692e+193,642.2562069368187275
325,8.541724458297985741e+193,644.22664967306975253
326,3.4005751806793121913e+194,646.2198291957264906
327,1.3325491134025534354e+195,648.19016721002126097
328,5.305429248446711824e+195,650.18344798359186343
329,2.07883482924675479e+196,652.1536817334676018
330,8.277280122196745039e+196,654.14706338027986515
331,3.2929501639624064148e+197,656.1392153709299927
332,1.2913791835153280566e+198,658.11067546445096943
333,5.1378315157806962437e+198,660.10292236860733556
334,2.0147396626657354863e+199,662.07428431357354864
335,8.016291346354619021e+199,664.0666258257867305
336,3.143280511749018353e+200,666.037890003936508
337,1.250737248013643534e+201,668.03032581565885634
338,4.9039543125791941554e+201,670.0014926106620859
339,1.9514510071865163051e+202,671.99402241041027134
340,7.7594010926427641287e+202,673.9854204699149122
341,3.0447260330713954348e+203,675.9577156812312798
342,1.2107245969054288454e+204,677.949202090043606
343,4.7504834478525086762e+204,679.9214056983240599
344,1.8891283929667646742e+205,681.91298020848031336
345,7.4118468887533883263e+205,683.8850925309110308
346,2.947654318080323072e+206,685.8767548911641381
347,1.1564161046681221771e+207,687.84877624724343836
348,4.5992880693135892108e+207,689.8405262032102378
349,1.8042674126822976973e+208,691.81245691461013797
350,7.1763510855888076076e+208,693.8042942089143598
351,2.8522728653636292943e+209,695.7950838366193322
352,1.1197363236861302398e+210,697.7680589717576615
353,4.4506953081504182654e+210,699.75893066450615915
354,1.747136749317878872e+211,701.73182055441179494
355,6.944862298756343416e+211,703.7227741102751359
356,2.7260705564680705152e+212,705.6955790187442364
357,1.0836734015909040757e+213,707.68661423255177806
358,4.2534992945213511414e+213,709.6593344258238436
359,1.6909556052612094397e+214,711.65045108929201717
360,6.7178022290742870367e+214,713.64060162940280824
361,2.638548197481263388e+215,715.6142847377845123
362,1.04829389732235601106e+216,717.60451173999553914
363,4.1171520767098320254e+216,719.5781152346532351
364,1.6358290040994289733e+217,721.5684185394295706
365,6.4243301928343337863e+217,723.541942635860309
366,2.552652928366835142e+218,725.53232208039230644
367,1.00243883831304885676e+219,727.50576699670908914
368,3.9833151721717185407e+219,729.49622241502821746
369,1.564181034838182311e+220,731.46958837184746655
370,6.2157941210174761733e+220,733.4601195949392776
371,2.4685188642987688271e+221,735.4497546402321869
372,9.699461821948759231e+221,737.424013671185669
373,3.8522004795505270258e+222,739.413719852113252
374,1.5135533562628547047e+223,741.38790469428674057
375,6.011465435691396848e+223,743.3776818844445018
376,2.3618207232624896522e+224,745.35179271422220737
