Strand length,Number of possible strands,Max length of binary vectors
178,1.4205718642550573e+106,352.630849874862
179,5.7687910964154075e+106,354.6526470785018
180,2.334325828792795e+107,356.66931210164313
181,8.982787504626553e+107,358.6134693590573
182,3.635689337110737e+108,360.63046317702674
183,1.398751540790893e+109,362.57430206312176
184,5.662573487332475e+109,364.59162021090515
185,2.178077053523888e+110,366.5351454305859
186,8.819476848629086e+110,368.5527835185318
187,3.3916355488751483e+111,370.4959996846863
188,1.3736426795265376e+112,372.5139533975396
189,5.2813926559137925e+112,374.456865032888
190,2.1394729023478707e+113,376.4751301287884
191,8.63948481175586e+113,378.48882000668783
192,3.332283532835822e+114,380.43631397717047
193,1.3458986572242434e+115,382.4503006947851
194,5.190142970275311e+115,384.3975051923767
195,2.096708148712535e+116,386.4117850664096
196,8.083863731873454e+116,388.3587040096255
197,3.2663656699536734e+117,390.373273411612
198,1.2591022556811056e+118,392.3199106503562
199,5.088536581419599e+118,394.3347660061943
200,2.0506635731555876e+119,396.34553411781104
201,7.927246404539768e+119,398.2962631123308
202,3.195257001596004e+120,400.3073033614794
203,1.23496101326082e+121,402.2577649791621
204,4.9787196809546255e+121,404.26907427036764
205,1.923913941065419e+122,406.21927184336255
206,7.75764923251648e+122,408.23084712114667
207,2.997226803935796e+123,410.1807839296827
208,1.2087688706084958e+124,412.19262217844096
209,4.66933690124124e+124,414.1423014514678
210,1.8834631854923766e+125,416.1543996953064
211,7.577968059223985e+125,418.1628229198885
212,2.9347547741441416e+126,420.1161799136892
213,1.180978214926868e+127,422.12485040280785
214,4.572854494472991e+127,424.0779630648668
215,1.8404800320402727e+128,426.0868782431268
216,7.12531218101044e+128,428.0397493698705
217,2.868273208862173e+129,430.0489066906943
218,1.1102516416637444e+130,432.00153903989195
219,4.470027324009885e+130,434.01093598557844
220,1.7955745690161497e+131,436.0170259986555
221,6.966267768790205e+131,437.9729663584205
222,2.7987359673917216e+132,439.97928391468577
223,1.0856517605255736e+133,441.93499803077566
224,4.3623464127697863e+133,443.9415409585768
225,1.6919260352402863e+134,445.89703121544215
226,6.7995187893088905e+134,447.9037973634985
227,2.6367728760252714e+135,449.859066116778
228,1.0598296907875693e+136,451.8660533543784
229,4.1092697159707146e+136,453.8211029310065
230,1.6519386957159807e+137,455.8283091481737
231,6.6270764291311425e+137,457.8325215574759
232,2.5748490546500327e+138,459.7905649541341
233,1.0331000532643908e+139,461.79498517187
234,4.0133745003246345e+139,463.7528209740564
235,1.6105058474673738e+140,465.75744718313643
236,6.2555820163950265e+140,467.7150774025314
237,2.5106247645104843e+141,469.71990780006814
238,9.75047868859753e+141,471.67733442718173
239,3.9138209333528743e+142,473.6823672247393
240,1.5680514038725343e+143,475.6846904235605
241,6.101263690324529e+143,477.6448256527076
242,2.4447636436116728e+144,479.6473406579262
243,9.51126748463698e+144,481.6072832732103
244,3.8116477296898794e+145,483.6099885510231
245,1.4827120184532716e+146,485.56974026935535
246,5.942757212314153e+146,487.5726342952901
247,2.3113998757426912e+147,489.5321968183066
248,9.265367043189861e+147,491.5352780775174
249,3.603240749231822e+148,493.4946530914638
250,1.4445638180330582e+149,495.4979200790015
251,5.781461460884654e+149,497.49872036725054
252,2.2522176330628697e+150,499.46056047569573
253,9.014968409496187e+150,501.4615366692386
254,3.511426190613158e+151,503.423199438357
255,1.4056913232939827e+152,505.4243502496905
256,5.474649905605651e+152,507.3858371326896
257,2.19187080219908e+153,509.38716128024373
258,8.535497246142586e+153,511.34847371948433
259,3.4177415757860426e+154,513.3499699279163
260,1.366389106178816e+155,515.349223085472
261,5.32920986477751e+155,517.312776355222
