Original Binary String Length,Almost Balanced,3-RLL,Almost Balanced And RLL
305,1.0,3.0,3.0
306,2.0,4.0,4.0
307,1.0,3.0,3.0
308,2.0,4.0,4.0
309,1.0,3.0,5.0
310,2.0,4.0,4.0
311,1.0,3.0,3.0
312,2.0,4.0,4.0
313,1.0,3.0,5.0
314,2.0,4.0,4.0
315,1.0,3.0,5.0
316,2.0,4.0,4.0
317,1.0,3.0,5.0
318,2.0,4.0,4.0
319,1.0,3.0,5.0
320,2.0,4.0,4.0
321,1.0,3.0,5.0
322,2.0,4.0,4.0
323,1.0,3.0,5.0
324,2.0,4.0,4.0
325,1.0,3.0,5.0
326,2.0,4.0,4.0
327,1.0,3.0,5.0
328,2.0,4.0,4.0
329,1.0,3.0,5.0
330,2.0,4.0,4.0
331,1.0,3.0,5.0
332,2.0,4.0,4.0
333,1.0,3.0,5.0
334,2.0,4.0,4.0
335,1.0,3.0,5.0
336,2.0,4.0,4.0
337,1.0,3.0,5.0
338,2.0,4.0,4.0
339,1.0,3.0,5.0
340,2.0,4.0,4.0
341,1.0,3.0,5.0
342,2.0,4.0,4.0
343,1.0,5.0,5.0
344,2.0,4.0,4.0
345,1.0,5.0,5.0
346,2.0,4.0,4.0
347,1.0,5.0,5.0
348,2.0,4.0,4.0
349,1.0,5.0,5.0
350,2.0,4.0,4.0
351,1.0,5.0,5.0
352,2.0,4.0,4.0
353,1.0,5.0,5.0
354,2.0,4.0,4.0
355,1.0,5.0,5.0
356,2.0,4.0,4.0
357,1.0,5.0,5.0
358,2.0,4.0,4.0
359,1.0,5.0,5.0
360,2.0,4.0,4.0
361,1.0,5.0,5.0
362,2.0,4.0,4.0
363,1.0,5.0,5.0
364,2.0,4.0,4.0
365,1.0,5.0,5.0
366,2.0,4.0,4.0
367,1.0,5.0,5.0
368,2.0,4.0,4.0
369,1.0,5.0,5.0
370,2.0,4.0,4.0
371,1.0,5.0,5.0
372,2.0,4.0,4.0
373,1.0,5.0,5.0
374,2.0,4.0,4.0
375,1.0,5.0,5.0
376,2.0,4.0,4.0
377,1.0,5.0,5.0
378,2.0,4.0,4.0
379,1.0,5.0,5.0
380,2.0,4.0,4.0
381,1.0,5.0,5.0
382,2.0,4.0,4.0
383,1.0,5.0,5.0
384,2.0,4.0,4.0
385,1.0,5.0,5.0
386,2.0,4.0,4.0
387,1.0,5.0,5.0
388,2.0,4.0,4.0
389,1.0,5.0,5.0
390,2.0,4.0,4.0
391,1.0,5.0,5.0
392,2.0,4.0,4.0
393,1.0,5.0,5.0
394,2.0,4.0,4.0
395,1.0,5.0,5.0
396,2.0,4.0,4.0
397,1.0,5.0,5.0
398,2.0,4.0,4.0
399,1.0,5.0,5.0
400,2.0,4.0,4.0
401,1.0,5.0,5.0
402,2.0,4.0,4.0
403,1.0,5.0,5.0
404,2.0,4.0,4.0
405,1.0,5.0,5.0
406,2.0,4.0,4.0
407,1.0,5.0,5.0
408,2.0,4.0,4.0
409,1.0,5.0,5.0
410,2.0,4.0,4.0
411,1.0,5.0,5.0
412,2.0,4.0,4.0
413,1.0,5.0,5.0
414,2.0,4.0,4.0
415,1.0,5.0,5.0
416,2.0,4.0,4.0
417,1.0,5.0,5.0
418,2.0,4.0,4.0
419,1.0,5.0,5.0
420,2.0,4.0,4.0
421,1.0,5.0,5.0
422,2.0,4.0,4.0
423,1.0,5.0,5.0
424,2.0,4.0,4.0
425,1.0,5.0,5.0
426,2.0,4.0,4.0
427,1.0,5.0,5.0
428,2.0,4.0,4.0
429,1.0,5.0,5.0
430,2.0,4.0,4.0
431,1.0,5.0,5.0
432,2.0,4.0,4.0
433,1.0,5.0,5.0
434,2.0,4.0,4.0
435,1.0,5.0,5.0
436,2.0,4.0,4.0
437,1.0,5.0,5.0
438,2.0,4.0,6.0
439,1.0,5.0,5.0
440,2.0,4.0,6.0
441,1.0,5.0,5.0
442,2.0,4.0,6.0
