Original Binary String Length,3-RLL and Knuth,3-RLL and Knuth with Skips,3-RLL and Knuth by blocks,6-RLL with encodings and Knuth
249,43.0,39.0,23.0,45.0
250,42.0,38.0,22.0,44.0
251,43.0,39.0,23.0,45.0
252,42.0,38.0,22.0,44.0
253,43.0,39.0,23.0,45.0
254,42.0,38.0,22.0,44.0
255,43.0,39.0,23.0,45.0
256,42.0,38.0,22.0,44.0
257,47.0,43.0,25.0,45.0
258,46.0,42.0,24.0,44.0
259,47.0,43.0,25.0,47.0
260,46.0,42.0,24.0,46.0
261,47.0,43.0,25.0,45.0
262,46.0,42.0,24.0,44.0
263,47.0,43.0,25.0,47.0
264,46.0,42.0,24.0,46.0
265,47.0,43.0,25.0,47.0
266,46.0,42.0,24.0,46.0
267,47.0,43.0,25.0,47.0
268,46.0,42.0,24.0,46.0
269,47.0,43.0,25.0,47.0
270,46.0,42.0,24.0,46.0
271,47.0,43.0,25.0,47.0
272,46.0,42.0,24.0,46.0
273,47.0,43.0,25.0,47.0
274,46.0,42.0,24.0,46.0
275,47.0,43.0,25.0,47.0
276,46.0,42.0,24.0,46.0
277,47.0,43.0,25.0,47.0
278,46.0,42.0,24.0,46.0
279,47.0,43.0,25.0,47.0
280,46.0,42.0,24.0,46.0
281,47.0,43.0,25.0,49.0
282,46.0,42.0,24.0,48.0
283,47.0,43.0,25.0,49.0
284,46.0,42.0,24.0,48.0
285,47.0,43.0,25.0,49.0
286,46.0,42.0,24.0,48.0
287,47.0,43.0,25.0,49.0
288,46.0,42.0,24.0,48.0
289,51.0,47.0,27.0,49.0
290,50.0,46.0,26.0,48.0
291,51.0,47.0,27.0,51.0
292,50.0,46.0,26.0,50.0
293,51.0,47.0,27.0,51.0
294,50.0,46.0,26.0,50.0
295,51.0,47.0,27.0,51.0
296,50.0,46.0,26.0,50.0
297,51.0,47.0,27.0,51.0
298,50.0,46.0,26.0,50.0
299,51.0,47.0,27.0,51.0
300,50.0,46.0,26.0,50.0
301,51.0,47.0,27.0,53.0
302,50.0,46.0,26.0,52.0
303,51.0,47.0,27.0,51.0
304,50.0,46.0,26.0,50.0
305,51.0,47.0,27.0,53.0
306,50.0,46.0,26.0,52.0
307,51.0,47.0,27.0,53.0
308,50.0,46.0,26.0,52.0
309,51.0,47.0,27.0,53.0
310,50.0,46.0,26.0,52.0
311,51.0,47.0,27.0,53.0
312,50.0,46.0,26.0,52.0
313,51.0,47.0,27.0,53.0
314,50.0,46.0,26.0,52.0
315,51.0,47.0,27.0,53.0
316,50.0,46.0,26.0,52.0
317,51.0,47.0,27.0,53.0
318,50.0,46.0,26.0,52.0
319,51.0,47.0,27.0,53.0
320,50.0,46.0,26.0,52.0
321,55.0,51.0,29.0,53.0
322,54.0,50.0,28.0,52.0
323,55.0,51.0,29.0,55.0
324,54.0,50.0,28.0,54.0
325,55.0,51.0,29.0,55.0
326,54.0,50.0,28.0,54.0
327,55.0,51.0,29.0,55.0
328,54.0,50.0,28.0,54.0
329,55.0,51.0,29.0,55.0
330,54.0,50.0,28.0,54.0
331,55.0,51.0,29.0,55.0
332,54.0,50.0,28.0,54.0
333,55.0,51.0,29.0,57.0
334,54.0,50.0,28.0,56.0
335,55.0,51.0,29.0,57.0
336,54.0,50.0,28.0,56.0
337,55.0,51.0,29.0,57.0
338,54.0,50.0,28.0,56.0
339,55.0,51.0,29.0,57.0
340,54.0,50.0,28.0,56.0
341,55.0,51.0,29.0,57.0
342,54.0,50.0,28.0,56.0
343,55.0,51.0,29.0,59.0
344,54.0,50.0,28.0,58.0
345,55.0,51.0,29.0,57.0
346,54.0,50.0,28.0,56.0
347,55.0,51.0,29.0,59.0
348,54.0,50.0,28.0,58.0
349,55.0,51.0,29.0,59.0
350,54.0,50.0,28.0,58.0
351,55.0,51.0,29.0,59.0
352,54.0,50.0,28.0,58.0
353,59.0,55.0,31.0,59.0
354,58.0,54.0,30.0,58.0
355,59.0,55.0,31.0,59.0
356,58.0,54.0,30.0,58.0
357,59.0,55.0,31.0,59.0
358,58.0,54.0,30.0,58.0
359,59.0,55.0,31.0,59.0
360,58.0,54.0,30.0,58.0
361,59.0,55.0,31.0,59.0
362,58.0,54.0,30.0,58.0
363,59.0,55.0,31.0,59.0
364,58.0,54.0,30.0,58.0
365,59.0,55.0,31.0,61.0
