Final Quaternary Strand Length,3-RLL and Knuth,3-RLL and Knuth with Skips,3-RLL and Knuth by blocks
473,58.0,57.0,30.0
474,58.0,57.0,30.0
475,59.0,57.0,30.0
476,60.0,57.0,30.0
477,60.0,57.0,30.0
478,60.0,57.0,30.0
479,60.0,57.0,31.0
480,60.0,57.0,31.0
481,60.0,57.0,31.0
482,60.0,57.0,31.0
483,60.0,57.0,31.0
484,60.0,57.0,31.0
485,60.0,57.0,31.0
486,60.0,57.0,31.0
487,60.0,57.0,31.0
488,60.0,57.0,31.0
489,60.0,57.0,31.0
490,60.0,58.0,31.0
491,60.0,59.0,31.0
492,60.0,59.0,31.0
493,61.0,59.0,31.0
494,62.0,59.0,31.0
495,62.0,59.0,31.0
496,62.0,59.0,32.0
497,62.0,59.0,32.0
498,62.0,59.0,32.0
499,62.0,59.0,32.0
500,62.0,59.0,32.0
501,62.0,59.0,32.0
502,62.0,59.0,32.0
503,62.0,59.0,32.0
504,62.0,59.0,32.0
505,62.0,59.0,32.0
506,62.0,59.0,32.0
507,62.0,59.0,32.0
508,62.0,60.0,32.0
509,62.0,61.0,32.0
510,62.0,61.0,32.0
511,63.0,61.0,32.0
512,64.0,61.0,32.0
513,64.0,61.0,33.0
514,64.0,61.0,33.0
515,64.0,61.0,33.0
516,64.0,61.0,33.0
517,64.0,61.0,33.0
518,64.0,61.0,33.0
519,64.0,61.0,33.0
520,64.0,61.0,33.0
521,64.0,61.0,33.0
522,64.0,61.0,33.0
523,64.0,61.0,33.0
524,64.0,61.0,33.0
525,64.0,61.0,33.0
526,64.0,62.0,33.0
527,64.0,63.0,33.0
528,64.0,63.0,33.0
529,65.0,63.0,33.0
530,66.0,63.0,34.0
531,66.0,63.0,34.0
532,66.0,63.0,34.0
533,66.0,63.0,34.0
534,66.0,63.0,34.0
535,66.0,63.0,34.0
536,66.0,63.0,34.0
537,66.0,63.0,34.0
538,66.0,63.0,34.0
539,66.0,63.0,34.0
540,66.0,63.0,34.0
541,66.0,63.0,34.0
542,66.0,63.0,34.0
543,66.0,63.0,34.0
544,66.0,64.0,34.0
545,66.0,65.0,34.0
546,66.0,65.0,34.0
547,67.0,65.0,35.0
548,68.0,65.0,35.0
549,68.0,65.0,35.0
550,68.0,65.0,35.0
551,68.0,65.0,35.0
552,68.0,65.0,35.0
553,68.0,65.0,35.0
554,68.0,65.0,35.0
555,68.0,65.0,35.0
556,68.0,65.0,35.0
557,68.0,65.0,35.0
558,68.0,65.0,35.0
559,68.0,65.0,35.0
560,68.0,65.0,35.0
561,68.0,65.0,35.0
562,68.0,66.0,35.0
563,68.0,67.0,35.0
564,68.0,67.0,36.0
565,69.0,67.0,36.0
566,70.0,67.0,36.0
567,70.0,67.0,36.0
568,70.0,67.0,36.0
569,70.0,67.0,36.0
570,70.0,67.0,36.0
571,70.0,67.0,36.0
572,70.0,67.0,36.0
573,70.0,67.0,36.0
574,70.0,67.0,36.0
575,70.0,67.0,36.0
576,70.0,67.0,36.0
577,70.0,67.0,36.0
578,70.0,67.0,36.0
579,70.0,67.0,36.0
580,70.0,68.0,36.0
581,70.0,69.0,37.0
582,70.0,69.0,37.0
583,71.0,69.0,37.0
584,72.0,69.0,37.0
585,72.0,69.0,37.0
586,72.0,69.0,37.0
587,72.0,69.0,37.0
588,72.0,69.0,37.0
589,72.0,69.0,37.0
590,72.0,69.0,37.0
591,72.0,69.0,37.0
592,72.0,69.0,37.0
593,72.0,69.0,37.0
594,72.0,69.0,37.0
595,72.0,69.0,37.0
